set(['2/1\n', '3/8=116\n', '3/4=66\n', '1/2=60\n', '3/8=240\n', '3/8=69\n', 'A clef=treble\n', '1/2=72\n', '1/4=72\n', 'Eb clef=bass\n', '7/4\n', '6/2\n', '3/8=80\n', '1/2=100\n', '1/2=52\n', '3/4=69\n', '3/8=138\n', '1/2=63\n', 'D clef=treble\n', '3/8=96\n', '1/2=44\n', '1/8=240\n', '2/4\n', '1/4=152\n', '16/2\n', '3/8=88\n', '3/4=63\n', '3/8=72\n', 'F clef=treble\n', '8/4\n', '1/8=120\n', '1/4=132\n', '3/8=60\n', '3/4=60\n', '1/4=100\n', '1/2=92\n', '3/4\n', '4/2\n', '1/8=168\n', '1/4=112\n', '1/4=108\n', '12/8\n', 'M:', 'G clef=treble\n', '5/2\n', '1/8=160\n', '1/8=144\n', 'Db clef=treble\n', '3/8=144\n', '3/8=168\n', '1/8=176\n', '3/8=63\n', '3/8=132\n', '3/8=152\n', 'Bb clef=bass\n', '2/2\n', '1/4=84\n', '3/8=160\n', 'Eb clef=treble\n', '1/4=96\n', '1/4=69\n', '1/2=120\n', '9/4\n', 'G clef=bass\n', 'E clef=treble\n', '6/8\n', '3/8=112\n', 'D clef=bass\n', '3/2\n', '1/4=126\n', '1/2=80\n', '3/8=120\n', '4/4\n', '12/2\n', '1/2=152\n', '1/4=138\n', '1/4=60\n', '1/2=54\n', 'K:', '1/4=56\n', '3/8=184\n', '5/4\n', '1/2=104\n', '1/4=76\n', '1/2=48\n', '1/4=176\n', '3/8=92\n', '7/8\n', 'C clef=bass\n', '5/8\n', '3/8=84\n', '1/2=84\n', '2/8\n', '1/4=144\n', '1/2=56\n', 'C clef=treble\n', '1/8=152\n', 'F clef=bass\n', '1/4=120\n', '1/2=96\n', '1/4=104\n', '1/2=88\n', '3/8=76\n', '3/8=126\n', '1/8\n', '1/4=168\n', '3/8\n', '8/8\n', 'Q:', '1/8=112\n', '1/4=160\n', '1/2=66\n', '1/4=192\n', '1/2=76\n', '10/2\n', '1/4=46\n', '1/4=88\n', '6/4\n', '14/2\n', '8/16\n', '1/4=92\n', 'B clef=treble\n', '1/4\n', '9/8\n', '3/8=176\n', '1/2=69\n', '1/4=80\n', 'L:', '3/8=108\n', '1/16\n', 'Bb clef=treble\n', '4/8\n', 'Ab clef=treble\n', '3/8=100\n', '3/8=66\n'])
vocabulary size: 137
n tunes: 18107
n train tunes: 17211
n validation tunes: 896
min, max length 10 10
Building the model
  number of parameters: 5621722
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   18769      (32, None, 137)
    InputLayer                       0          (32, None)
    LSTMLayer                        1332224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       70281      (None, 137)
Train model
1/53700 (epoch 0.002) train_loss=43.98071289 time/batch=0.76s
2/53700 (epoch 0.004) train_loss=35.32958984 time/batch=0.01s
3/53700 (epoch 0.006) train_loss=37.36705399 time/batch=0.02s
4/53700 (epoch 0.007) train_loss=45.80332184 time/batch=0.02s
5/53700 (epoch 0.009) train_loss=33.94296265 time/batch=0.02s
6/53700 (epoch 0.011) train_loss=28.42869759 time/batch=0.02s
7/53700 (epoch 0.013) train_loss=25.05910873 time/batch=0.02s
8/53700 (epoch 0.015) train_loss=23.94310760 time/batch=0.02s
9/53700 (epoch 0.017) train_loss=22.42004967 time/batch=0.02s
10/53700 (epoch 0.019) train_loss=21.59001160 time/batch=0.02s
11/53700 (epoch 0.020) train_loss=24.68845177 time/batch=0.02s
12/53700 (epoch 0.022) train_loss=24.03924179 time/batch=0.02s
13/53700 (epoch 0.024) train_loss=20.88087463 time/batch=0.02s
14/53700 (epoch 0.026) train_loss=19.14960861 time/batch=0.02s
15/53700 (epoch 0.028) train_loss=19.27033615 time/batch=0.02s
16/53700 (epoch 0.030) train_loss=18.03179932 time/batch=0.02s
17/53700 (epoch 0.032) train_loss=19.11495972 time/batch=0.02s
18/53700 (epoch 0.034) train_loss=20.55465698 time/batch=0.02s
19/53700 (epoch 0.035) train_loss=17.20217896 time/batch=0.02s
20/53700 (epoch 0.037) train_loss=15.39426804 time/batch=0.02s
21/53700 (epoch 0.039) train_loss=16.20154953 time/batch=0.02s
22/53700 (epoch 0.041) train_loss=17.84215736 time/batch=0.02s
23/53700 (epoch 0.043) train_loss=17.51979065 time/batch=0.02s
24/53700 (epoch 0.045) train_loss=20.15286636 time/batch=0.02s
25/53700 (epoch 0.047) train_loss=14.96586037 time/batch=0.02s
26/53700 (epoch 0.048) train_loss=14.64053631 time/batch=0.02s
27/53700 (epoch 0.050) train_loss=14.01202011 time/batch=0.02s
28/53700 (epoch 0.052) train_loss=13.44189072 time/batch=0.02s
29/53700 (epoch 0.054) train_loss=13.98795319 time/batch=0.02s
30/53700 (epoch 0.056) train_loss=20.38993835 time/batch=0.02s
31/53700 (epoch 0.058) train_loss=21.43812752 time/batch=0.02s
32/53700 (epoch 0.060) train_loss=14.25585842 time/batch=0.02s
33/53700 (epoch 0.061) train_loss=12.71186543 time/batch=0.02s
34/53700 (epoch 0.063) train_loss=12.76668549 time/batch=0.02s
35/53700 (epoch 0.065) train_loss=13.33308411 time/batch=0.02s
36/53700 (epoch 0.067) train_loss=14.81715870 time/batch=0.02s
37/53700 (epoch 0.069) train_loss=15.45479965 time/batch=0.02s
38/53700 (epoch 0.071) train_loss=14.84120083 time/batch=0.02s
39/53700 (epoch 0.073) train_loss=12.15209198 time/batch=0.02s
40/53700 (epoch 0.074) train_loss=11.44746017 time/batch=0.02s
41/53700 (epoch 0.076) train_loss=10.98486137 time/batch=0.02s
42/53700 (epoch 0.078) train_loss=11.55725002 time/batch=0.02s
43/53700 (epoch 0.080) train_loss=11.89788532 time/batch=0.02s
44/53700 (epoch 0.082) train_loss=10.83951473 time/batch=0.02s
45/53700 (epoch 0.084) train_loss=11.10235405 time/batch=0.02s
46/53700 (epoch 0.086) train_loss=11.50999260 time/batch=0.02s
47/53700 (epoch 0.088) train_loss=10.31447029 time/batch=0.02s
48/53700 (epoch 0.089) train_loss=10.49256039 time/batch=0.02s
49/53700 (epoch 0.091) train_loss=9.46757126 time/batch=0.02s
50/53700 (epoch 0.093) train_loss=9.03437328 time/batch=0.02s
51/53700 (epoch 0.095) train_loss=11.01366711 time/batch=0.02s
52/53700 (epoch 0.097) train_loss=11.02284241 time/batch=0.02s
53/53700 (epoch 0.099) train_loss=10.91582870 time/batch=0.02s
54/53700 (epoch 0.101) train_loss=10.09833145 time/batch=0.02s
55/53700 (epoch 0.102) train_loss=8.54621506 time/batch=0.02s
56/53700 (epoch 0.104) train_loss=8.13981533 time/batch=0.02s
57/53700 (epoch 0.106) train_loss=7.86954641 time/batch=0.02s
58/53700 (epoch 0.108) train_loss=7.33425713 time/batch=0.02s
59/53700 (epoch 0.110) train_loss=7.70764256 time/batch=0.02s
60/53700 (epoch 0.112) train_loss=7.91550541 time/batch=0.02s
61/53700 (epoch 0.114) train_loss=8.96409225 time/batch=0.02s
62/53700 (epoch 0.115) train_loss=11.39719105 time/batch=0.02s
63/53700 (epoch 0.117) train_loss=25.98649979 time/batch=0.02s
64/53700 (epoch 0.119) train_loss=15.01998043 time/batch=0.02s
65/53700 (epoch 0.121) train_loss=14.41330528 time/batch=0.02s
66/53700 (epoch 0.123) train_loss=8.65250015 time/batch=0.02s
67/53700 (epoch 0.125) train_loss=6.93507338 time/batch=0.02s
68/53700 (epoch 0.127) train_loss=8.12107086 time/batch=0.02s
69/53700 (epoch 0.128) train_loss=6.82554817 time/batch=0.02s
70/53700 (epoch 0.130) train_loss=7.49876595 time/batch=0.02s
71/53700 (epoch 0.132) train_loss=7.76710224 time/batch=0.02s
72/53700 (epoch 0.134) train_loss=7.26078892 time/batch=0.02s
73/53700 (epoch 0.136) train_loss=7.02612495 time/batch=0.02s
74/53700 (epoch 0.138) train_loss=6.88343954 time/batch=0.02s
75/53700 (epoch 0.140) train_loss=6.39632034 time/batch=0.02s
76/53700 (epoch 0.142) train_loss=5.93335629 time/batch=0.02s
77/53700 (epoch 0.143) train_loss=6.12951088 time/batch=0.02s
78/53700 (epoch 0.145) train_loss=6.83181429 time/batch=0.02s
79/53700 (epoch 0.147) train_loss=5.92607832 time/batch=0.02s
80/53700 (epoch 0.149) train_loss=5.90205240 time/batch=0.02s
81/53700 (epoch 0.151) train_loss=6.24033070 time/batch=0.02s
82/53700 (epoch 0.153) train_loss=5.75790167 time/batch=0.02s
83/53700 (epoch 0.155) train_loss=6.11883450 time/batch=0.02s
84/53700 (epoch 0.156) train_loss=6.06593323 time/batch=0.02s
85/53700 (epoch 0.158) train_loss=7.09791279 time/batch=0.02s
86/53700 (epoch 0.160) train_loss=6.68207502 time/batch=0.02s
87/53700 (epoch 0.162) train_loss=7.17241001 time/batch=0.02s
88/53700 (epoch 0.164) train_loss=6.32255745 time/batch=0.02s
89/53700 (epoch 0.166) train_loss=6.23162079 time/batch=0.02s
90/53700 (epoch 0.168) train_loss=7.77237892 time/batch=0.02s
91/53700 (epoch 0.169) train_loss=6.22115421 time/batch=0.02s
92/53700 (epoch 0.171) train_loss=6.10182476 time/batch=0.02s
93/53700 (epoch 0.173) train_loss=6.76212215 time/batch=0.02s
94/53700 (epoch 0.175) train_loss=6.89005804 time/batch=0.02s
95/53700 (epoch 0.177) train_loss=6.56643009 time/batch=0.02s
96/53700 (epoch 0.179) train_loss=5.55612564 time/batch=0.02s
97/53700 (epoch 0.181) train_loss=6.10797548 time/batch=0.02s
98/53700 (epoch 0.182) train_loss=6.19835377 time/batch=0.02s
99/53700 (epoch 0.184) train_loss=7.20986557 time/batch=0.02s
100/53700 (epoch 0.186) train_loss=6.30582523 time/batch=0.02s
101/53700 (epoch 0.188) train_loss=6.56372547 time/batch=0.02s
102/53700 (epoch 0.190) train_loss=5.56421518 time/batch=0.02s
103/53700 (epoch 0.192) train_loss=6.79091644 time/batch=0.02s
104/53700 (epoch 0.194) train_loss=7.00509644 time/batch=0.02s
105/53700 (epoch 0.196) train_loss=7.02936172 time/batch=0.02s
106/53700 (epoch 0.197) train_loss=6.57727146 time/batch=0.02s
107/53700 (epoch 0.199) train_loss=7.57975388 time/batch=0.02s
108/53700 (epoch 0.201) train_loss=6.17312956 time/batch=0.02s
109/53700 (epoch 0.203) train_loss=6.07707310 time/batch=0.02s
110/53700 (epoch 0.205) train_loss=6.28381729 time/batch=0.02s
111/53700 (epoch 0.207) train_loss=5.65214539 time/batch=0.02s
112/53700 (epoch 0.209) train_loss=7.08774424 time/batch=0.02s
113/53700 (epoch 0.210) train_loss=6.87271690 time/batch=0.02s
114/53700 (epoch 0.212) train_loss=6.21277857 time/batch=0.02s
115/53700 (epoch 0.214) train_loss=6.29736900 time/batch=0.02s
116/53700 (epoch 0.216) train_loss=5.75325108 time/batch=0.02s
