vocabulary size: 13035
<type 'int'>
<type 'numpy.float64'>
n tunes: 999
n train tunes: 951
n validation tunes: 48
min, max length 39 835
Building the model
  number of parameters: 208545956
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (16, None)
    EmbeddingLayer                   169911225  (16, None, 13035)
    InputLayer                       0          (16, None)
    LSTMLayer                        27747328   (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    LSTMLayer                        2100224    (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    LSTMLayer                        2100224    (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       6686955    (None, 13035)
Train model
1/1180 (epoch 0.017) train_loss=696.51220703 time/batch=0.99s
2/1180 (epoch 0.034) train_loss=1352.63195801 time/batch=0.49s
3/1180 (epoch 0.051) train_loss=638.54345703 time/batch=0.38s
4/1180 (epoch 0.068) train_loss=712.39007568 time/batch=0.40s
5/1180 (epoch 0.085) train_loss=973.47247314 time/batch=0.61s
6/1180 (epoch 0.102) train_loss=991.68170166 time/batch=0.76s
7/1180 (epoch 0.119) train_loss=615.73168945 time/batch=0.41s
8/1180 (epoch 0.136) train_loss=442.87957764 time/batch=0.28s
9/1180 (epoch 0.153) train_loss=2144.85449219 time/batch=2.66s
10/1180 (epoch 0.169) train_loss=658.63439941 time/batch=0.78s
11/1180 (epoch 0.186) train_loss=628.97460938 time/batch=0.36s
12/1180 (epoch 0.203) train_loss=460.76373291 time/batch=0.29s
13/1180 (epoch 0.220) train_loss=622.05114746 time/batch=0.36s
14/1180 (epoch 0.237) train_loss=469.99414062 time/batch=0.28s
15/1180 (epoch 0.254) train_loss=318.97406006 time/batch=0.20s
16/1180 (epoch 0.271) train_loss=703.66442871 time/batch=0.39s
17/1180 (epoch 0.288) train_loss=379.31832886 time/batch=0.25s
18/1180 (epoch 0.305) train_loss=265.38006592 time/batch=0.19s
19/1180 (epoch 0.322) train_loss=268.41186523 time/batch=0.17s
20/1180 (epoch 0.339) train_loss=750.07800293 time/batch=0.41s
21/1180 (epoch 0.356) train_loss=608.03680420 time/batch=0.39s
22/1180 (epoch 0.373) train_loss=317.60366821 time/batch=0.22s
23/1180 (epoch 0.390) train_loss=659.39874268 time/batch=0.39s
