set([' ', '\xa7', '(', '\xab', ',', '0', '4', '8', '<', '\xc3', 'D', 'H', 'L', 'P', 'T', 'X', 'd', 'h', 'l', 'p', 't', 'x', '|', '\x80', '\x98', '\xa4', "'", '/', '3', '\xb4', '7', ';', '\xbc', '?', 'C', 'G', 'K', 'O', 'S', 'W', '[', '_', 'c', 'g', 'k', 'o', 's', 'w', '\n', '\x99', '&', '.', '2', '6', ':', '>', 'B', 'F', 'J', 'N', 'R', 'V', 'Z', '^', 'b', 'f', 'j', 'n', 'r', 'v', 'z', '!', '%', ')', '\xaa', '-', '1', '5', '\xb6', '9', '=', 'A', 'E', 'I', 'M', 'Q', 'U', 'Y', ']', 'a', '\xe2', 'e', 'i', 'm', 'q', 'u', 'y'])
['</s>', ' ', '\xa7', '(', '\xab', ',', '0', '4', '8', '<', '\xc3', 'D', 'H', 'L', 'P', 'T', 'X', 'd', 'h', 'l', 'p', 't', 'x', '|', '\x80', '\x98', '\xa4', "'", '/', '3', '\xb4', '7', ';', '\xbc', '?', 'C', 'G', 'K', 'O', 'S', 'W', '[', '_', 'c', 'g', 'k', 'o', 's', 'w', '\n', '\x99', '&', '<s>', '.', '2', '6', ':', '>', 'B', 'F', 'J', 'N', 'R', 'V', 'Z', '^', 'b', 'f', 'j', 'n', 'r', 'v', 'z', '!', '%', ')', '\xaa', '-', '1', '5', '\xb6', '9', '=', 'A', 'E', 'I', 'M', 'Q', 'U', 'Y', ']', 'a', '\xe2', 'e', 'i', 'm', 'q', 'u', 'y']
vocabulary size: 99
{'</s>': 0, ' ': 1, '\xa7': 2, '(': 3, '\xab': 4, ',': 5, '0': 6, '4': 7, '8': 8, '<': 9, '\xc3': 10, 'D': 11, 'H': 12, 'L': 13, 'P': 14, 'T': 15, 'X': 16, 'd': 17, 'h': 18, 'l': 19, 'p': 20, 't': 21, 'x': 22, '|': 23, '\x80': 24, '\x98': 25, '\xa4': 26, "'": 27, '/': 28, '3': 29, '\xb4': 30, '7': 31, ';': 32, '\xbc': 33, '?': 34, 'C': 35, 'G': 36, 'K': 37, 'O': 38, 'S': 39, 'W': 40, '[': 41, '_': 42, 'c': 43, 'g': 44, 'k': 45, 'o': 46, 's': 47, 'w': 48, '\n': 49, '\x99': 50, '&': 51, '<s>': 52, '.': 53, '2': 54, '6': 55, ':': 56, '>': 57, 'B': 58, 'F': 59, 'J': 60, 'N': 61, 'R': 62, 'V': 63, 'Z': 64, '^': 65, 'b': 66, 'f': 67, 'j': 68, 'n': 69, 'r': 70, 'v': 71, 'z': 72, '!': 73, '%': 74, ')': 75, '\xaa': 76, '-': 77, '1': 78, '5': 79, '\xb6': 80, '9': 81, '=': 82, 'A': 83, 'E': 84, 'I': 85, 'M': 86, 'Q': 87, 'U': 88, 'Y': 89, ']': 90, 'a': 91, '\xe2': 92, 'e': 93, 'i': 94, 'm': 95, 'q': 96, 'u': 97, 'y': 98}
999
n tunes: 999
n train tunes: 951
n validation tunes: 48
min, max length 367 2323
Building the model
  number of parameters: 5515436
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (16, None)
    EmbeddingLayer                   9801       (16, None, 99)
    InputLayer                       0          (16, None)
    LSTMLayer                        1254400    (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    LSTMLayer                        2100224    (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    LSTMLayer                        2100224    (16, None, 512)
    DropoutLayer                     0          (16, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       50787      (None, 99)
Train model
1/5900 (epoch 0.017) train_loss=2552.52636719 time/batch=1.57s
2/5900 (epoch 0.034) train_loss=2375.95068359 time/batch=0.65s
3/5900 (epoch 0.051) train_loss=2651.97460938 time/batch=1.45s
4/5900 (epoch 0.068) train_loss=2449.60693359 time/batch=2.54s
5/5900 (epoch 0.085) train_loss=2415.36621094 time/batch=0.86s
6/5900 (epoch 0.102) train_loss=2433.16943359 time/batch=0.78s
7/5900 (epoch 0.119) train_loss=2330.90380859 time/batch=0.77s
8/5900 (epoch 0.136) train_loss=2538.08935547 time/batch=2.17s
9/5900 (epoch 0.153) train_loss=2066.92333984 time/batch=1.39s
10/5900 (epoch 0.169) train_loss=2424.64404297 time/batch=0.85s
11/5900 (epoch 0.186) train_loss=2287.66894531 time/batch=2.50s
12/5900 (epoch 0.203) train_loss=2010.04541016 time/batch=0.79s
13/5900 (epoch 0.220) train_loss=2628.36816406 time/batch=1.52s
14/5900 (epoch 0.237) train_loss=2002.56164551 time/batch=0.72s
15/5900 (epoch 0.254) train_loss=2202.46899414 time/batch=0.77s
16/5900 (epoch 0.271) train_loss=1982.36474609 time/batch=1.31s
17/5900 (epoch 0.288) train_loss=1927.68420410 time/batch=0.69s
18/5900 (epoch 0.305) train_loss=2054.43359375 time/batch=0.69s
19/5900 (epoch 0.322) train_loss=1754.29089355 time/batch=0.70s
20/5900 (epoch 0.339) train_loss=1733.87109375 time/batch=0.59s
21/5900 (epoch 0.356) train_loss=2401.82348633 time/batch=0.84s
22/5900 (epoch 0.373) train_loss=1758.45349121 time/batch=1.20s
23/5900 (epoch 0.390) train_loss=1742.70239258 time/batch=0.63s
24/5900 (epoch 0.407) train_loss=2024.70922852 time/batch=1.28s
25/5900 (epoch 0.424) train_loss=2645.47827148 time/batch=1.60s
26/5900 (epoch 0.441) train_loss=1853.84960938 time/batch=0.69s
27/5900 (epoch 0.458) train_loss=2019.09106445 time/batch=0.70s
28/5900 (epoch 0.475) train_loss=1738.98925781 time/batch=0.60s
29/5900 (epoch 0.492) train_loss=1958.44750977 time/batch=0.67s
30/5900 (epoch 0.508) train_loss=2069.18017578 time/batch=0.71s
31/5900 (epoch 0.525) train_loss=1789.72534180 time/batch=0.63s
32/5900 (epoch 0.542) train_loss=1817.02551270 time/batch=0.61s
33/5900 (epoch 0.559) train_loss=1638.77075195 time/batch=0.57s
